country,model,scores,scores_RSF,type
Norway,RSF,90.48,90.48,original
Denmark,RSF,86.9,86.9,original
Sweden,RSF,82.78,82.78,original
Estonia,RSF,90.0,90.0,original
Finland,RSF,84.52,84.52,original
Ireland,RSF,86.61,86.61,original
Portugal,RSF,88.27,88.27,original
Costa Rica,RSF,82.8,82.8,original
Lithuania,RSF,83.6,83.6,original
Liechtenstein,RSF,78.72,78.72,original
New Zealand,RSF,79.76,79.76,original
Jamaica,RSF,84.97,84.97,original
Seychelles,RSF,75.0,75.0,original
Switzerland,RSF,85.2,85.2,original
Iceland,RSF,83.28,83.28,original
Germany,RSF,82.38,82.38,original
East Timor,RSF,85.71,85.71,original
Namibia,RSF,75.0,75.0,original
Canada,RSF,82.38,82.38,original
Czechia,RSF,85.16,85.16,original
Luxembourg,RSF,85.32,85.32,original
Latvia,RSF,83.21,83.21,original
Belgium,RSF,86.51,86.51,original
United Kingdom,RSF,75.38,75.38,original
Trinidad and Tobago,RSF,86.41,86.41,original
France,RSF,81.5,81.5,original
Slovakia,RSF,80.85,80.85,original
Netherlands,RSF,87.34,87.34,original
Argentina,RSF,63.89,63.89,original
Dominican Republic,RSF,82.14,82.14,original
Austria,RSF,75.3,75.3,original
Spain,RSF,79.56,79.56,original
Bhutan,RSF,28.57,28.57,original
Guyana,RSF,65.18,65.18,original
South Africa,RSF,82.06,82.06,original
Cabo Verde,RSF,73.35,73.35,original
CÃ´te d'Ivoire,RSF,73.08,73.08,original
Taiwan,RSF,76.39,76.39,original
Australia,RSF,70.41,70.41,original
Moldova,RSF,82.67,82.67,original
Burkina Faso,RSF,63.92,63.92,original
United States,RSF,72.06,72.06,original
South Korea,RSF,61.77,61.77,original
Uruguay,RSF,70.58,70.58,original
Samoa,RSF,83.03,83.03,original
Sierra Leone,RSF,72.62,72.62,original
Belize,RSF,77.98,77.98,original
Croatia,RSF,68.92,68.92,original
Tonga,RSF,71.43,71.43,original
Gambia,RSF,76.87,76.87,original
Armenia,RSF,78.57,78.57,original
Suriname,RSF,79.56,79.56,original
Andorra,RSF,57.14,57.14,original
Slovenia,RSF,73.7,73.7,original
OECS,RSF,65.28,65.28,original
Romania,RSF,73.38,73.38,original
North Macedonia,RSF,75.15,75.15,original
Italy,RSF,69.98,69.98,original
Niger,RSF,67.5,67.5,original
Ghana,RSF,73.41,73.41,original
Kosovo,RSF,67.56,67.56,original
Papua New Guinea,RSF,56.43,56.43,original
Montenegro,RSF,73.05,73.05,original
Mauritius,RSF,80.12,80.12,original
Cyprus,RSF,55.4,55.4,original
Poland,RSF,77.38,77.38,original
Bosnia-Herzegovina,RSF,58.87,58.87,original
Ecuador,RSF,47.38,47.38,original
Kenya,RSF,58.6,58.6,original
Haiti,RSF,69.05,69.05,original
Japan,RSF,54.38,54.38,original
Kyrgyzstan,RSF,50.66,50.66,original
Senegal,RSF,65.87,65.87,original
Panama,RSF,64.68,64.68,original
Liberia,RSF,71.43,71.43,original
Nepal,RSF,61.43,61.43,original
Peru,RSF,53.23,53.23,original
Malta,RSF,61.9,61.9,original
Serbia,RSF,53.57,53.57,original
Malawi,RSF,68.12,68.12,original
Northern Cyprus,RSF,53.25,53.25,original
Chile,RSF,68.45,68.45,original
Comoros,RSF,65.71,65.71,original
Guinea,RSF,69.05,69.05,original
Hungary,RSF,74.29,74.29,original
Israel,RSF,60.42,60.42,original
Maldives,RSF,48.1,48.1,original
Lesotho,RSF,56.9,56.9,original
Georgia,RSF,60.45,60.45,original
Mongolia,RSF,61.31,61.31,original
Bulgaria,RSF,67.06,67.06,original
Guinea-Bissau,RSF,54.05,54.05,original
Congo-Brazzaville,RSF,67.14,67.14,original
Tunisia,RSF,59.76,59.76,original
Botswana,RSF,69.56,69.56,original
Paraguay,RSF,56.88,56.88,original
Mauritania,RSF,76.98,76.98,original
Madagascar,RSF,60.71,60.71,original
Angola,RSF,58.33,58.33,original
Togo,RSF,59.82,59.82,original
Central African Republic,RSF,62.9,62.9,original
Fiji,RSF,74.35,74.35,original
Albania,RSF,66.96,66.96,original
Chad,RSF,63.1,63.1,original
Gabon,RSF,71.09,71.09,original
Ukraine,RSF,75.89,75.89,original
Burundi,RSF,58.01,58.01,original
Greece,RSF,52.44,52.44,original
Zambia,RSF,55.95,55.95,original
Brazil,RSF,57.14,57.14,original
Mali,RSF,63.53,63.53,original
El Salvador,RSF,49.27,49.27,original
Malaysia,RSF,52.62,52.62,original
Ethiopia,RSF,47.62,47.62,original
Thailand,RSF,54.52,54.52,original
Mozambique,RSF,62.3,62.3,original
Indonesia,RSF,47.77,47.77,original
Cameroon,RSF,59.31,59.31,original
Qatar,RSF,59.9,59.9,original
Jordan,RSF,38.69,38.69,original
Benin,RSF,63.33,63.33,original
Kazakhstan,RSF,50.85,50.85,original
Tanzania,RSF,63.44,63.44,original
Guatemala,RSF,46.67,46.67,original
DR Congo,RSF,65.83,65.83,original
Bolivia,RSF,59.79,59.79,original
Mexico,RSF,57.99,57.99,original
South Sudan,RSF,48.21,48.21,original
Nigeria,RSF,62.96,62.96,original
Lebanon,RSF,42.18,42.18,original
Eswatini,RSF,64.29,64.29,original
Uganda,RSF,52.14,52.14,original
Uzbekistan,RSF,37.96,37.96,original
Algeria,RSF,43.01,43.01,original
Morocco,RSF,50.3,50.3,original
Rwanda,RSF,50.0,50.0,original
Zimbabwe,RSF,52.68,52.68,original
United Arab Emirates,RSF,29.52,29.52,original
Singapore,RSF,49.4,49.4,original
Somalia,RSF,44.84,44.84,original
Equatorial Guinea,RSF,49.05,49.05,original
Cambodia,RSF,32.54,32.54,original
Libya,RSF,36.77,36.77,original
Brunei,RSF,37.83,37.83,original
Colombia,RSF,48.08,48.08,original
Sri Lanka,RSF,29.61,29.61,original
Philippines,RSF,51.64,51.64,original
Hong Kong,RSF,47.73,47.73,original
TÃ¼rkiye,RSF,37.05,37.05,original
India,RSF,33.33,33.33,original
Sudan,RSF,46.09,46.09,original
Tajikistan,RSF,30.21,30.21,original
Belarus,RSF,38.69,38.69,original
Azerbaijan,RSF,37.76,37.76,original
Russia,RSF,37.28,37.28,original
Afghanistan,RSF,16.07,16.07,original
Pakistan,RSF,37.73,37.73,original
Kuwait,RSF,27.85,27.85,original
Venezuela,RSF,38.74,38.74,original
Nicaragua,RSF,36.64,36.64,original
Laos,RSF,30.36,30.36,original
Bangladesh,RSF,32.65,32.65,original
Oman,RSF,35.7,35.7,original
Djibouti,RSF,29.08,29.08,original
Honduras,RSF,35.95,35.95,original
Saudi Arabia,RSF,30.06,30.06,original
Bahrain,RSF,20.7,20.7,original
Egypt,RSF,27.62,27.62,original
Yemen,RSF,31.43,31.43,original
Palestine,RSF,35.52,35.52,original
Syria,RSF,17.72,17.72,original
Iraq,RSF,29.46,29.46,original
Cuba,RSF,30.16,30.16,original
Vietnam,RSF,23.51,23.51,original
China,RSF,21.79,21.79,original
Myanmar,RSF,30.0,30.0,original
Turkmenistan,RSF,15.67,15.67,original
Iran,RSF,19.84,19.84,original
Eritrea,RSF,20.71,20.71,original
North Korea,RSF,17.27,17.27,original
Norway,RSF,89.84,89.84,original
Denmark,RSF,83.07,83.07,original
Sweden,RSF,85.5,85.5,original
Estonia,RSF,76.77,76.77,original
Finland,RSF,80.9,80.9,original
Ireland,RSF,77.0,77.0,original
Portugal,RSF,72.92,72.92,original
Costa Rica,RSF,63.89,63.89,original
Lithuania,RSF,70.72,70.72,original
Liechtenstein,RSF,62.35,62.35,original
New Zealand,RSF,72.08,72.08,original
Jamaica,RSF,70.31,70.31,original
Seychelles,RSF,59.79,59.79,original
Switzerland,RSF,72.32,72.32,original
Iceland,RSF,65.1,65.1,original
Germany,RSF,77.63,77.63,original
East Timor,RSF,65.36,65.36,original
Namibia,RSF,63.37,63.37,original
Canada,RSF,66.35,66.35,original
Czechia,RSF,62.58,62.58,original
Luxembourg,RSF,71.53,71.53,original
Latvia,RSF,74.69,74.69,original
Belgium,RSF,71.41,71.41,original
United Kingdom,RSF,69.42,69.42,original
Trinidad and Tobago,RSF,66.76,66.76,original
France,RSF,66.27,66.27,original
Slovakia,RSF,64.84,64.84,original
Netherlands,RSF,84.09,84.09,original
Argentina,RSF,38.45,38.45,original
