
="",="(1)"
="",="Full Sample"

="DEEPSEEK",="-5.580***"
="",="(0.777)"

="FALCON",="-16.60***"
="",="(0.909)"

="GEMINI",="-16.75***"
="",="(0.833)"

="GPT",="-16.84***"
="",="(0.776)"

="MISTRAL",="-11.85***"
="",="(0.777)"

="QWEN",="-16.04***"
="",="(0.850)"

="DEEPSEEK # dummy_china=1",="26.51***"
="",="(0.777)"

="FALCON # dummy_china=1",="17.53***"
="",="(0.909)"

="GEMINI # dummy_china=1",="7.231***"
="",="(0.833)"

="GPT # dummy_china=1",="10.84***"
="",="(0.776)"

="MISTRAL # dummy_china=1",="14.20***"
="",="(0.777)"

="QWEN # dummy_china=1",="19.09***"
="",="(0.850)"

="DEEPSEEK # dummy_us=1",="3.598***"
="",="(0.777)"

="FALCON # dummy_us=1",="-7.299***"
="",="(0.909)"

="GEMINI # dummy_us=1",="6.514***"
="",="(0.833)"

="GPT # dummy_us=1",="5.471***"
="",="(0.776)"

="MISTRAL # dummy_us=1",="8.162***"
="",="(0.777)"

="QWEN # dummy_us=1",="14.81***"
="",="(0.850)"

="DEEPSEEK # dummy_uae=1",="18.01***"
="",="(0.777)"

="FALCON # dummy_uae=1",="18.02***"
="",="(0.909)"

="GEMINI # dummy_uae=1",="10.12***"
="",="(0.833)"

="GPT # dummy_uae=1",="8.168***"
="",="(0.776)"

="MISTRAL # dummy_uae=1",="10.67***"
="",="(0.777)"

="QWEN # dummy_uae=1",="25.56***"
="",="(0.850)"

="DEEPSEEK # dummy_france=1",="-0.0679"
="",="(0.777)"

="FALCON # dummy_france=1",="-18.53***"
="",="(0.909)"

="GEMINI # dummy_france=1",="-5.431***"
="",="(0.833)"

="GPT # dummy_france=1",="-2.953***"
="",="(0.776)"

="MISTRAL # dummy_france=1",="-2.907***"
="",="(0.777)"

="QWEN # dummy_france=1",="-3.385***"
="",="(0.850)"

="scores_RSF",="0.479***"
="",="(0.0273)"

="R-squared",="0.677"
="Observations",="6300"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
