
="",="(1)",="(2)",="(3)"
="",="Original",="Randomization 1",="Randomization 2"

="DEEPSEEK",="-3.785",="-10.18***",="-9.197***"
="",="(2.763)",="(2.780)",="(2.646)"

="FALCON",="-18.50***",="-14.79***",="-14.54***"
="",="(3.129)",="(3.147)",="(3.323)"

="GEMINI",="-17.54***",="-23.91***",="-23.94***"
="",="(2.998)",="(3.014)",="(3.100)"

="GPT",="-19.85***",="-18.93***",="-18.67***"
="",="(2.508)",="(2.474)",="(2.458)"

="MISTRAL",="-13.37***",="-16.64***",="-16.48***"
="",="(2.911)",="(3.026)",="(2.991)"

="QWEN",="-17.75***",="-11.56***",="-11.03***"
="",="(3.325)",="(3.374)",="(3.170)"

="DEEPSEEK # dummy_china=1",="24.72***",="17.99***",="15.34***"
="",="(2.763)",="(2.780)",="(2.646)"

="FALCON # dummy_china=1",="19.43***",="18.69***",="19.00***"
="",="(3.129)",="(3.147)",="(3.323)"

="GEMINI # dummy_china=1",="8.016**",="15.55***",="13.31***"
="",="(2.998)",="(3.014)",="(3.100)"

="GPT # dummy_china=1",="13.85***",="15.56***",="14.59***"
="",="(2.508)",="(2.474)",="(2.458)"

="MISTRAL # dummy_china=1",="15.72***",="17.85***",="14.96***"
="",="(2.911)",="(3.026)",="(2.991)"

="QWEN # dummy_china=1",="20.80***",="19.54***",="20.36***"
="",="(3.325)",="(3.374)",="(3.170)"

="DEEPSEEK # dummy_us=1",="1.804",="8.063***",="3.640"
="",="(2.763)",="(2.780)",="(2.646)"

="FALCON # dummy_us=1",="-5.399*",="-3.009",="-4.068"
="",="(3.129)",="(3.147)",="(3.323)"

="GEMINI # dummy_us=1",="7.299**",="11.86***",="9.059***"
="",="(2.998)",="(3.014)",="(3.100)"

="GPT # dummy_us=1",="8.481***",="6.679**",="9.670***"
="",="(2.508)",="(2.474)",="(2.458)"

="MISTRAL # dummy_us=1",="9.678***",="7.674**",="7.183**"
="",="(2.911)",="(3.026)",="(2.991)"

="QWEN # dummy_us=1",="16.52***",="9.017**",="9.749***"
="",="(3.325)",="(3.374)",="(3.170)"

="DEEPSEEK # dummy_uae=1",="16.21***",="19.16***",="14.59***"
="",="(2.763)",="(2.780)",="(2.646)"

="FALCON # dummy_uae=1",="19.92***",="17.34***",="20.46***"
="",="(3.129)",="(3.147)",="(3.323)"

="GEMINI # dummy_uae=1",="10.90***",="16.72***",="16.14***"
="",="(2.998)",="(3.014)",="(3.100)"

="GPT # dummy_uae=1",="11.18***",="13.20***",="11.20***"
="",="(2.508)",="(2.474)",="(2.458)"

="MISTRAL # dummy_uae=1",="12.19***",="12.15***",="13.49***"
="",="(2.911)",="(3.026)",="(2.991)"

="QWEN # dummy_uae=1",="27.26***",="29.94***",="26.67***"
="",="(3.325)",="(3.374)",="(3.170)"

="DEEPSEEK # dummy_france=1",="-1.862",="-0.455",="-1.499"
="",="(2.763)",="(2.780)",="(2.646)"

="FALCON # dummy_france=1",="-16.63***",="-10.12***",="-12.50***"
="",="(3.129)",="(3.147)",="(3.323)"

="GEMINI # dummy_france=1",="-4.646",="-3.295",="-3.781"
="",="(2.998)",="(3.014)",="(3.100)"

="GPT # dummy_france=1",="0.0577",="-4.984*",="0.743"
="",="(2.508)",="(2.474)",="(2.458)"

="MISTRAL # dummy_france=1",="-1.391",="-3.146",="-3.437"
="",="(2.911)",="(3.026)",="(2.991)"

="QWEN # dummy_france=1",="-1.678",="-1.621",="-2.605"
="",="(3.325)",="(3.374)",="(3.170)"

="scores_RSF",="0.501***",="0.570***",="0.495***"
="",="(0.0710)",="(0.0710)",="(0.0822)"

="R-squared",="0.618",="0.623",="0.606"
="Observations",="770",="770",="770"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
